signal,horizon,quintile,n,mean_return,median_return,hit_rate
BB07,3,2,173,-0.0011581252681997112,-0.0015231740044970854,0.43352601156069365
BB07,3,3,170,0.0025857061895293238,-0.00033566261965456423,0.4823529411764706
BB07,3,4,173,0.0005836356036639979,0.002030991424702977,0.5375722543352601
BB07,3,5,173,0.003510314580425367,0.002254703778572509,0.5144508670520231
BB07,5,1,174,0.0017216852623375938,0.0014739912179324577,0.5459770114942529
BB07,5,2,173,0.0015800896715005913,-0.0007310386841303806,0.49710982658959535
BB07,5,3,168,0.005725732308991184,-0.0004748957682149668,0.49404761904761907
BB07,5,4,173,-0.0053411152816078495,-0.0008887514973531241,0.4797687861271676
BB07,5,5,173,0.010059583699659223,0.008318209316394487,0.5606936416184971
BB07,10,1,174,0.002967076915882002,0.003981605257544096,0.5862068965517241
BB07,10,2,171,0.0040077208228463885,-0.0014857939901149475,0.4678362573099415
BB07,10,3,165,0.007975377575361592,0.003791835945057054,0.5272727272727272
BB07,10,4,173,-0.003306090383893362,-0.0046149669713146935,0.4624277456647399
BB07,10,5,173,0.01157777659753056,0.012129014771649294,0.6127167630057804
BB07,20,1,170,0.004199559997088201,0.001856178781213469,0.5588235294117647
BB07,20,2,165,0.002503680009902523,-0.0019850358833408688,0.45454545454545453
BB07,20,3,165,0.026462610425257986,0.01377410468319562,0.6363636363636364
BB07,20,4,173,-0.005078487936055139,-0.0015046644598253334,0.4624277456647399
BB07,20,5,173,0.01257571338224507,0.012508047457003624,0.5895953757225434
VB05,1,1,174,-6.605018898902826e-05,0.0001813050212010614,0.5172413793103449
VB05,1,2,173,-0.00014326310255082534,0.00010755386656136068,0.5086705202312138
VB05,1,3,174,0.001325932693156798,0.0014947512053203882,0.5804597701149425
VB05,1,4,171,0.00022297048351214622,-0.0002267867556536851,0.4678362573099415
VB05,1,5,173,0.00027737035767020875,-0.0005544993662863762,0.4797687861271676
VB05,3,1,173,0.0029227875940573416,0.0022530980097632547,0.5260115606936416
VB05,3,2,173,-0.0002873215270334499,-0.0008504692767974387,0.4797687861271676
VB05,3,3,174,0.0049142286387585925,0.0021292380700739244,0.5804597701149425
VB05,3,4,171,0.0025521641812602737,-0.0013345356176736045,0.4619883040935672
