signal,horizon,years_present,positive_years,negative_years,sign_consistency,mean_yearly_coef,median_yearly_coef,mean_abs_yearly_t,max_abs_yearly_t,abs_median_coef
VB01,10,4,2,2,0.5,0.0008616488979220093,0.0011060442581925997,0.8550145510593208,1.48973259549603,0.0011060442581925997
BB07,20,4,2,2,0.5,-0.23119371392315644,0.28877122695000296,0.8533577551173186,1.5415130046802024,0.28877122695000296
PB05,10,4,2,2,0.5,-0.002838953581038063,-0.0028035709558409594,0.8497195770388447,1.1747858307530046,0.0028035709558409594
BB07,5,4,2,2,0.5,-0.02279157328638992,-0.2752798528724403,0.8432518558356763,1.2592909985225746,0.2752798528724403
PB05,1,4,2,2,0.5,-0.0002778356543852895,-8.9776903795775e-05,0.8422420374829707,1.4154905435511846,8.9776903795775e-05
BB07,10,4,2,2,0.5,-0.026368138510595662,-0.14036811836627971,0.8166451207981388,1.0539608505788975,0.14036811836627971
PB06,20,4,2,2,0.5,-0.004878570063034925,-0.00025729390808935677,0.7839953357568343,2.3306627963653335,0.00025729390808935677
BB02,1,4,2,2,0.5,0.00014176973261537638,4.777326123028597e-05,0.7315566757630434,1.2151878035979085,4.777326123028597e-05
BB06,5,4,2,2,0.5,-0.001855642909861842,-0.0012134876108473422,0.7083986905768721,1.371725983030278,0.0012134876108473422
VB05,3,4,2,2,0.5,0.0005821760835277396,0.0006162302709042904,0.7047601467514697,1.130912038309837,0.0006162302709042904
VB01,5,4,2,2,0.5,-0.0013420065512384932,5.332148106527621e-05,0.6907418599286197,1.6167190113997278,5.332148106527621e-05
PB04,3,4,2,2,0.5,-0.00364598099684076,-0.001873656090050484,0.6557576356458071,1.5068441441712521,0.001873656090050484
BB07,3,4,2,2,0.5,0.06300968497348264,-0.11002628525164615,0.6347382365495221,1.163733461557744,0.11002628525164615
PB04,10,4,2,2,0.5,-0.005434672690318559,-0.0031253308428344263,0.5519412023309535,1.1156021092370976,0.0031253308428344263
BB06,3,4,2,2,0.5,-0.00016438764958185542,-6.471997628982261e-05,0.5459000192191421,0.8867856127582794,6.471997628982261e-05
PB06,5,4,2,2,0.5,0.0006371442908413956,-0.0005709391831777461,0.4385281072997239,0.9099429988094591,0.0005709391831777461
PB05,20,4,2,2,0.5,-0.000239319074436756,-0.0008721428149721476,0.4087324674679751,0.6020420812024577,0.0008721428149721476
BB01,20,4,2,2,0.5,0.0049312987555690324,0.00017118294966703298,0.34819801639759684,0.9421108832567746,0.00017118294966703298
VB05,20,4,2,2,0.5,0.0007324637623304454,0.0001682745601052075,0.23156382655341054,0.44095142813487065,0.0001682745601052075
