,0
2020-10-14,0.25984371304647824
2020-10-15,0.3132773780439694
2020-10-16,0.3132773780439694
2020-10-19,0.3132773780439694
2020-10-20,0.3072816387512618
2020-10-21,0.3072816387512618
2020-10-22,0.3072816387512618
2020-10-23,0.3072816387512618
2020-10-26,0.2952901601658467
2020-10-27,0.2952901601658467
2020-10-28,0.3012858994585543
2020-10-29,0.3012858994585543
2020-10-30,0.3132773780439694
2020-11-02,0.3192731173366769
2020-11-03,0.3282667262757382
2020-11-05,0.3282667262757382
2020-11-06,0.32227098698303064
2020-11-09,0.32227098698303064
2020-11-11,0.24630446625604802
2020-11-12,0.30860207622815483
2020-11-13,0.3139925055072493
2020-11-16,0.3112972908677021
2020-11-17,0.30590686158860764
2020-11-18,0.3112972908677021
2020-11-19,0.30590686158860764
2020-11-20,0.3032116469490605
2020-11-23,0.30860207622815483
2020-11-24,0.3139925055072493
2020-11-25,0.3032116469490605
2020-11-26,0.31668772014679647
2020-11-27,0.33555422262362694
2020-11-30,0.33555422262362694
2020-12-02,0.3301637933445325
2020-12-03,0.3301637933445325
2020-12-08,0.33555422262362694
2020-12-10,0.34603457595695625
2020-12-11,0.2773193569533501
2020-12-14,0.30074503824823867
2020-12-15,0.30718842510489175
2020-12-16,0.30485239145390397
2020-12-17,0.27668543518837957
2020-12-21,0.27187351457640774
2020-12-22,0.2839033161063373
2020-12-23,0.2972167099186129
2020-12-24,0.25565241059506466
2020-12-25,0.1954030613671723
2020-12-28,0.20666926478955755
2020-12-29,0.17537537431169578
2020-12-30,0.17537537431169578
2020-12-31,0.18436898325075707
2021-01-01,0.18436898325075707
2021-01-04,0.18436898325075707
2021-01-06,0.17837324395804952
2021-01-07,0.15287863422789189
2021-01-11,0.15854080586596195
2021-01-13,0.15004754840885684
2021-01-14,0.14155429095175173
2021-01-15,0.15004754840885684
2021-01-18,0.15287863422789189
2021-01-19,0.15287863422789189
2021-01-20,0.14721646258982182
2021-01-21,0.07344780633566746
2021-01-22,0.07644567598202123
2021-01-25,0.07044993668931368
2021-01-26,0.07944354562837501
2021-01-27,0.07644567598202123
2021-01-28,0.07344780633566746
2021-01-29,0.07044993668931368
2021-02-02,0.08244141527472879
2021-02-03,0.08543928492108256
2021-02-04,0.07644567598202123
2021-02-08,0.0674520670429599
2021-02-09,0.06445419739660613
2021-02-15,0.06145632775025236
2021-02-16,0.06445419739660613
2021-02-17,0.06445419739660613
2021-02-18,0.06445419739660613
2021-02-19,0.05845845810389858
2021-02-22,0.14435761835915456
2021-02-23,0.06441768022503827
2021-02-24,0.06441768022503827
2021-02-25,0.06441768022503827
2021-02-26,0.06441768022503827
2021-03-02,0.06093564345611728
2021-03-03,0.06441768022503827
2021-03-05,0.06441768022503827
2021-03-08,0.0574536066871963
2021-03-09,0.0574536066871963
2021-03-15,0.06789971699395925
2021-03-16,0.053971569918275314
2021-03-17,0.053971569918275314
2021-03-18,0.053971569918275314
2021-03-19,0.06441768022503827
2021-03-22,0.07138175376288024
2021-03-23,0.06789971699395925
2021-03-24,0.015432478544874978
2021-03-25,0.1435109388079117
2021-03-26,0.026806536759636995
2021-03-29,-0.09396880562981857
2021-03-30,-0.09396880562981857
2021-03-31,-0.09396880562981857
2021-04-01,-0.09396880562981857
2021-04-02,-0.09396880562981857
2021-04-05,-0.09396880562981857
2021-04-06,-0.09396880562981857
2021-04-08,-0.0864513011794331
2021-04-13,-0.0864513011794331
2021-04-14,-0.0864513011794331
2021-04-15,-0.0864513011794331
2021-04-16,-0.0864513011794331
2021-04-19,-0.0864513011794331
2021-04-20,-0.0864513011794331
2021-04-21,-0.09396880562981857
2021-04-22,
2021-04-23,
2021-04-26,
2021-04-27,
2021-04-28,
2021-04-29,
2021-04-30,
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-07,
2021-05-13,
2021-05-14,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-24,
2021-05-25,
2021-05-26,
2021-05-27,
2021-05-28,
2021-05-31,
2021-06-03,
2021-06-04,
2021-06-07,
2021-06-08,
2021-06-09,
2021-06-10,
2021-06-14,
2021-06-15,
2021-06-16,
2021-06-17,
2021-06-18,
2021-06-21,
2021-06-22,
2021-06-23,
