date,baseline_equity,equal_weight_equity,risk_parity_equity,optimize_sharpe_equity
2018-12-26,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-27,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-28,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2018-12-31,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-01,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-02,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-04,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-07,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-08,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-10,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-11,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-14,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-15,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-16,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-17,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-18,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-21,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-22,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-23,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-24,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-25,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-28,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-29,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-30,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-01-31,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-02-01,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-02-04,1.1293534179546862,1.0977885848038216,1.1289792642705894,1.1538191024649997
2019-02-05,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-07,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-08,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-12,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-13,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-14,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-15,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-18,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-19,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
2019-02-20,1.1136664165180497,1.0723743214546082,1.113172005487417,1.1462704627497091
