signal,type,year,horizon,n,coef,hac_tstat,hac_pvalue,spearman_ic,n1,n0,mean_1,mean_0,spread_1_minus_0
PB04,binary,2021,10,171,0.0006765044443470436,0.16854644173363514,0.8661534109943049,-0.028035464835608908,122.0,49.0,0.0022720632732448048,0.0015955588288977614,0.0006765044443470434
PB04,binary,2018,20,227,0.013121704211561176,0.8511417683009883,0.3946906056534738,0.0866589024501,64.0,163.0,0.01953206380023049,0.006410359588669301,0.013121704211561187
PB04,binary,2019,20,228,-0.013965737715858786,-0.8443412781575027,0.39847872601651046,-0.15493195478116112,104.0,124.0,-0.009586208766621883,0.004379528949236908,-0.013965737715858791
PB04,binary,2020,20,230,-0.02044233266367132,-1.8117341476720907,0.07002728460232062,-0.15847268705768164,184.0,46.0,0.01437863964031391,0.03482097230398522,-0.020442332663671306
PB04,binary,2021,20,161,-0.00950092532841875,-1.6291044122085814,0.10329091735666453,-0.24223233953543954,112.0,49.0,0.0014681166985042837,0.010969042026923038,-0.009500925328418754
PB05,binary,2018,1,227,0.000530660096914497,0.32869725450386345,0.7423845297204088,0.05063732936644746,124.0,103.0,0.0009939620036113618,0.0004633019066968655,0.0005306600969144962
PB05,binary,2019,1,228,-0.001995835137303315,-1.4154905435511846,0.15692471908527025,-0.10225843286452593,102.0,126.0,-0.0013489303987820507,0.0006469047385212655,-0.0019958351373033163
PB05,binary,2020,1,230,0.0010640463273537072,0.7308796649682838,0.4648526578255677,0.042632028400191854,137.0,93.0,0.0008668671578450933,-0.00019717916950861338,0.0010640463273537068
PB05,binary,2021,1,180,-0.000710213904506047,-0.8939006869085507,0.37137503022764407,-0.06928318424877435,95.0,85.0,2.70347921246402e-05,0.0007372486966306873,-0.0007102139045060471
PB05,binary,2018,3,227,0.01063430827492766,1.7985392077723585,0.07209160121597301,0.07305278716599486,124.0,103.0,0.0071854119931070316,-0.003448896281820646,0.010634308274927678
PB05,binary,2019,3,228,-0.0041206217517732405,-0.6096573230296697,0.5420888305746603,-0.04972199029192545,102.0,126.0,-0.0016230572748413127,0.002497564476931929,-0.004120621751773242
PB05,binary,2020,3,230,0.0011116472700210597,0.16057824847148078,0.872425587757508,-0.0008673182616627451,137.0,93.0,0.0030621228166061577,0.0019504755465850985,0.0011116472700210592
PB05,binary,2021,3,178,0.00305334201422893,0.9466574815971753,0.3438133429806507,0.042408957318590484,95.0,83.0,0.0022816099054718854,-0.0007717321087570484,0.0030533420142289337
PB05,binary,2018,5,227,0.006884569707422372,0.9005047754904426,0.36785168508891064,0.0386194031968106,124.0,103.0,0.007222249695392511,0.0003376799879701303,0.00688456970742238
PB05,binary,2019,5,228,-0.008911524982179092,-0.9079260667010749,0.3639172845692409,-0.07599021157822569,102.0,126.0,-0.004077478219230384,0.004834046762948709,-0.008911524982179092
PB05,binary,2020,5,230,-0.0012565824936033843,-0.13442831472624073,0.8930638929184499,-0.03782841956636743,137.0,93.0,0.004145422720497567,0.005402005214100946,-0.0012565824936033787
PB05,binary,2021,5,176,-0.0034514814322210777,-0.9238959769390529,0.3555404778937602,-0.13900229288360885,95.0,81.0,-0.0006946573598826415,0.002756824072338436,-0.0034514814322210777
PB05,binary,2018,10,227,0.009658997910666956,1.1747858307530046,0.24008041028918603,0.07291775428768434,124.0,103.0,0.009806000612801227,0.00014700270213426138,0.009658997910666966
PB05,binary,2019,10,228,-0.007374425962681222,-0.6114550868172685,0.5408983433265191,-0.039402331929450356,102.0,126.0,-0.0030653921197981073,0.004309033842883116,-0.007374425962681223
PB05,binary,2020,10,230,-0.01540767032313729,-1.1364859272265844,0.255753251948615,-0.14083914233615807,137.0,93.0,0.0030386504116062074,0.0184463207347435,-0.015407670323137293
PB05,binary,2021,10,171,0.0017672840509993033,0.4761514633585215,0.6339664753715915,0.00023841487061413276,95.0,76.0,0.002863670700747389,0.001096386649748086,0.001767284050999303
PB05,binary,2018,20,227,-0.004313043392907274,-0.4872648501912247,0.6260706536479507,-0.05671380889042115,124.0,103.0,0.008152851218935676,0.012465894611842948,-0.004313043392907272
PB05,binary,2019,20,228,0.0006225829020938556,0.05069189773938234,0.959571033017473,0.003886624578075035,102.0,126.0,-0.0016467485805240075,-0.0022693314826178605,0.000622582902093853
PB05,binary,2020,20,230,0.005100052725104546,0.49493104073883554,0.6206487986035918,-0.01607874623544012,137.0,93.0,0.020529301405373054,0.01542924868026851,0.005100052725104545
PB05,binary,2021,20,161,-0.002366868532038151,-0.6020420812024577,0.5471461264562977,-0.12193289841639651,90.0,71.0,0.003315928346440993,0.005682796878479145,-0.0023668685320381517
PB06,binary,2018,1,227,0.001007770715129772,0.6588536319806175,0.509989763557826,0.055822331747270325,38.0,189.0,0.0015922469162868407,0.0005844762011570691,0.0010077707151297717
PB06,binary,2019,1,228,0.0006680035655822781,0.29993578687331207,0.7642261363020628,0.05702987831739516,35.0,193.0,0.0003194902830495172,-0.0003485132825327608,0.000668003565582278
PB06,binary,2020,1,230,0.0003619123937695125,0.1960728780319526,0.8445531244009151,0.008916870505358178,31.0,199.0,0.0007497552357417799,0.0003878428419722692,0.0003619123937695107
PB06,binary,2021,1,180,-0.002102371327769662,-1.9624727023024353,0.049707475697571134,-0.12154101423275437,23.0,157.0,-0.00147132141107993,0.00063104991668973,-0.00210237132776966
PB06,binary,2018,3,227,0.00860746757900965,0.8479135124425414,0.3964861386827748,-0.008103241705248919,38.0,189.0,0.00952672309493643,0.0009192555159267775,0.008607467579009652
PB06,binary,2019,3,228,-0.0018215953298707163,-0.2309365909354599,0.8173640635026013,0.008226351977711783,35.0,193.0,-0.0008878360377431457,0.0009337592921275611,-0.0018215953298707068
PB06,binary,2020,3,230,0.0006319862380722186,0.04380314880401603,0.9650613171125834,-0.04113266071826514,31.0,199.0,0.0031594361438427383,0.002527449905770517,0.0006319862380722214
PB06,binary,2021,3,178,0.007449462707295518,0.9310810862454566,0.35181162149497813,0.037320993294714014,23.0,155.0,0.007344752222605613,-0.00010471048468990324,0.007449462707295516
PB06,binary,2018,5,227,0.009238438278090805,0.9099429988094591,0.3628525716279055,0.028631454025212843,38.0,189.0,0.01179032967202096,0.00255189139393015,0.00923843827809081
PB06,binary,2019,5,228,-0.005547982748369731,-0.602282595227687,0.5469860442760623,0.000462154605489426,35.0,193.0,-0.003849006827479462,0.0016989759208902561,-0.0055479827483697185
PB06,binary,2020,5,230,-0.002266866536607416,-0.12056542445813832,0.9040352562995385,-0.03959857547003147,31.0,199.0,0.0026921867688464306,0.004959053305453846,-0.0022668665366074154
PB06,binary,2021,5,176,0.0011249881702519236,0.12132141070361147,0.9034364619890621,-0.03865460657914271,23.0,153.0,0.0018717811972676513,0.0007467930270157282,0.0011249881702519232
PB06,binary,2018,10,227,-0.006154420824923911,-0.5995647477601055,0.5487963468804207,-0.049339738383071194,38.0,189.0,0.0002991181427161301,0.006453538967640043,-0.006154420824923913
PB06,binary,2019,10,228,-1.4841944518409478e-05,-0.00112098725855485,0.9991055817608652,0.02708225988168036,35.0,193.0,0.0009973849679465495,0.0010122269124649558,-1.4841944518406225e-05
PB06,binary,2020,10,230,-0.004974336040066554,-0.2257021438663033,0.8214330905462738,-0.0756495788035226,31.0,199.0,0.004964826359773699,0.009939162399840254,-0.004974336040066555
PB06,binary,2021,10,171,0.007861704865499348,1.3646164438072113,0.17237363371088488,0.13159711645040545,23.0,148.0,0.008882493696174042,0.0010207888306746858,0.007861704865499357
PB06,binary,2018,20,227,-0.024985767718960696,-2.3306627963653335,0.01977114739917039,-0.1809723980838925,38.0,189.0,-0.010693257280686003,0.014292510438274682,-0.024985767718960685
PB06,binary,2019,20,228,0.0059860752829997066,0.41419143175755796,0.6787339163063418,0.0773646809589299,35.0,193.0,0.003076352664893167,-0.0029097226181065286,0.005986075282999695
PB06,binary,2020,20,230,0.0011297283290506543,0.06872553630231137,0.9452080912272135,-0.0449678738388493,31.0,199.0,0.019444566770791996,0.018314838441741345,0.0011297283290506513
PB06,binary,2021,20,161,-0.0016443161452293679,-0.32240157860213425,0.7471484884692915,0.008284802263723242,19.0,142.0,0.0029094362542182507,0.004553752399447619,-0.0016443161452293687
PB07,continuous,2018,1,227,-0.03381551347415585,-1.194501335779527,0.23228191850624613,-0.09991459239027208,,,,,
PB07,continuous,2019,1,228,0.0018272002855381046,0.09717415738139584,0.9225880903237689,0.010006320394125214,,,,,
PB07,continuous,2020,1,230,-0.03007207481059681,-1.082290822676905,0.27912332259278627,-0.03327510087942986,,,,,
PB07,continuous,2021,1,180,-0.0315725426487412,-1.0293368591349177,0.303321408468187,-0.05941983507715212,,,,,
PB07,continuous,2018,3,227,-0.023292022921192465,-0.19338415596881015,0.846658122935893,-0.06291540030008909,,,,,
PB07,continuous,2019,3,228,-0.07836056710680725,-0.738896817239647,0.4599696551521808,-0.04335481558602031,,,,,
PB07,continuous,2020,3,230,-0.05295842684958031,-0.30574375419893923,0.7597997564572684,-0.09117599557160827,,,,,
PB07,continuous,2021,3,178,0.024587540960812754,0.18511412096780058,0.8531395260883805,-0.07196752077929396,,,,,
PB07,continuous,2018,5,227,-0.05114144776603784,-0.2918912968066451,0.7703697380142088,-0.06425063158030571,,,,,
PB07,continuous,2019,5,228,-0.19772549340507645,-1.2727126618080702,0.20312002289828335,-0.07895708687801889,,,,,
PB07,continuous,2020,5,230,-0.11677162098774128,-0.489993815988294,0.6241382748010929,-0.08142549102046953,,,,,
PB07,continuous,2021,5,176,-0.15102964138015706,-0.9182400515468122,0.35849320456684464,-0.16363726413005933,,,,,
PB07,continuous,2018,10,227,-0.19103965923146857,-1.024036695060757,0.30581794308998034,-0.09648751586966992,,,,,
PB07,continuous,2019,10,228,-0.19830550015707937,-0.9690710120765161,0.3325097597172494,-0.08692427651490761,,,,,
PB07,continuous,2020,10,230,-0.2959367982938379,-0.933853563332879,0.3503794352411028,-0.1385072683719924,,,,,
PB07,continuous,2021,10,171,-0.2031394678238168,-1.0904884342242767,0.2754980453115309,-0.11278177443848121,,,,,
PB07,continuous,2018,20,227,-0.2573464297970758,-1.2589897834869623,0.20803402206928445,-0.16723835904540604,,,,,
PB07,continuous,2019,20,228,-0.15920526814109714,-0.7620497136278002,0.4460303338524889,-0.1227629614274696,,,,,
PB07,continuous,2020,20,230,-0.19516052233750042,-0.9626798513958659,0.33570821110206317,-0.12342041900253115,,,,,
