signal,type,horizon,n,n1,n0,mean_1,mean_0,spread_1_minus_0,tstat_spread,pearson_ic,spearman_ic
BB01,binary,5,861,43,818,0.017915661221380982,0.0019324857952693984,0.015983175426111586,1.4962615016584178,0.0693585179153865,0.05414598211003659
BB01,binary,10,856,43,813,0.018401233842026212,0.0038834902875239503,0.014517743554502261,1.3109446978673294,0.059043881184380254,0.03825578135009954
BB01,binary,20,846,40,806,0.017922904860544375,0.007535318770565212,0.010387586089979164,0.9365447277407847,0.04380810816289822,0.00025085093953823085
BB02,binary,1,865,34,831,-0.0008816374731049054,0.00037367477452104577,-0.0012553122476259512,-0.5778941746659624,-0.02393688638098822,-0.016510798300091212
BB02,binary,3,863,34,829,-2.3013169006622256e-05,0.0017361673433341756,-0.0017591805123407978,-0.19384480376474458,-0.008052697843054527,-0.0185773778270464
BB02,binary,5,861,34,827,0.008132479330709604,0.0025086366575642364,0.005623842673145367,0.49377868004244885,0.02181982357104823,-0.003431085880666042
BB02,binary,10,856,34,822,0.012915829244519924,0.004269333898601486,0.008646495345918437,0.8562871995664503,0.03144211528480087,0.03856182356250003
BB02,binary,20,846,34,812,0.014245050607152277,0.007766073156224333,0.006478977450927944,0.7947912786567615,0.0252851938560264,0.021809532731796828
BB03,binary,1,865,98,767,-0.0013505713563032908,0.000538336449099276,-0.0018889078054025667,-1.7995617783215732,-0.0587485839320142,-0.05812166234493331
BB03,binary,3,863,98,765,-0.001127160022661102,0.0020247868785602543,-0.0031519469012213563,-0.5337584060212422,-0.02353081245476263,-0.07703872451435384
BB03,binary,5,861,98,763,-0.002608181700999782,0.0034164464216877174,-0.0060246281226875,-1.0100418658749153,-0.038118114488927816,-0.05680836097778028
BB03,binary,10,856,98,758,-0.008972368065274482,0.006369159273563321,-0.015341527338837802,-2.6408198079390313,-0.09095205485029123,-0.08940012813151313
BB03,binary,20,846,95,751,0.0014147275218861447,0.008862828240902999,-0.007448100719016854,-1.3834044064787276,-0.046727189258113616,-0.05107149956653613
BB04,binary,1,865,86,779,0.0005113081060343658,0.00030369135612640156,0.00020761674990796422,0.16669875666343204,0.006096158701868902,0.012981318756553206
BB04,binary,3,863,84,779,0.00900539303531511,0.0008755420602199449,0.008129850975095165,1.4572105425933892,0.0567028947978607,0.03712671184354156
BB04,binary,5,861,82,779,0.01815543110362719,0.001107062211235328,0.017048368892391863,2.5348364063512228,0.09969751825775432,0.07048873580108338
BB04,binary,10,856,82,774,0.012706698165200257,0.0037552731387825292,0.008951425026417728,1.4975483348981875,0.04905303255346832,0.04835108718738064
BB04,binary,20,846,82,764,0.011021446693550754,0.007705005883018552,0.0033164408105322016,0.6398936095645957,0.019497018430812828,0.005382237475853635
BB05,binary,1,865,402,463,0.00011574440752946317,0.0005054401980876416,-0.0003896957905581784,-0.565888198633119,-0.01907239174594583,-0.02658546735776739
BB05,binary,3,863,402,461,0.001227476129529659,0.0020500105765875994,-0.0008225344470579403,-0.28589897299320544,-0.009654546053750823,-0.012792951134483945
BB05,binary,5,861,402,459,0.002009030561039178,0.0033627811056906333,-0.0013537505446514554,-0.3989271159703163,-0.013455005271612315,-0.016025751520672097
BB05,binary,10,856,402,454,0.005799380664359591,0.003562069673769918,0.0022373109905896725,0.6133233716797045,0.020790435442177374,0.015487950741668558
BB05,binary,20,846,398,448,0.005448733780047245,0.010316489015711009,-0.004867755235663763,-1.408234802230191,-0.04827826137380039,-0.05138471355190626
BB06,continuous,1,865,0,0,,,,,-0.03818170464393033,-0.05168175500828646
BB06,continuous,3,863,0,0,,,,,-0.005506264162026713,-0.024022055962413684
BB06,continuous,5,861,0,0,,,,,-0.026790686792806436,-0.028574772142057867
BB06,continuous,10,856,0,0,,,,,-0.02688482067386816,-0.018113748667577142
BB06,continuous,20,846,0,0,,,,,-0.019130435204505875,-0.0290209802061744
BB07,continuous,1,865,0,0,,,,,0.04821693599487745,0.05072826434076601
BB07,continuous,3,863,0,0,,,,,0.022765963294254603,0.0146490595856839
